"ss_presented","inhibited","ssd","rt"
0,-999,-999,504
0,-999,-999,615
0,-999,-999,656
0,-999,-999,511
0,-999,-999,665
0,-999,-999,483
0,-999,-999,755
0,-999,-999,402
0,-999,-999,498
0,-999,-999,465
0,-999,-999,395
0,-999,-999,452
0,-999,-999,548
0,-999,-999,562
0,-999,-999,482
0,-999,-999,477
0,-999,-999,491
0,-999,-999,542
0,-999,-999,366
0,-999,-999,478
0,-999,-999,621
0,-999,-999,443
0,-999,-999,422
0,-999,-999,534
0,-999,-999,612
0,-999,-999,463
0,-999,-999,750
0,-999,-999,445
0,-999,-999,600
0,-999,-999,449
0,-999,-999,575
0,-999,-999,600
0,-999,-999,519
0,-999,-999,647
0,-999,-999,657
0,-999,-999,384
0,-999,-999,400
0,-999,-999,458
0,-999,-999,440
0,-999,-999,483
0,-999,-999,610
0,-999,-999,444
0,-999,-999,506
0,-999,-999,452
0,-999,-999,451
0,-999,-999,531
0,-999,-999,498
0,-999,-999,459
0,-999,-999,534
0,-999,-999,463
0,-999,-999,542
0,-999,-999,422
0,-999,-999,550
0,-999,-999,580
0,-999,-999,494
0,-999,-999,680
0,-999,-999,504
0,-999,-999,561
0,-999,-999,384
0,-999,-999,512
0,-999,-999,479
0,-999,-999,520
0,-999,-999,391
0,-999,-999,448
0,-999,-999,512
0,-999,-999,443
0,-999,-999,553
0,-999,-999,515
0,-999,-999,610
0,-999,-999,338
0,-999,-999,561
0,-999,-999,428
0,-999,-999,409
0,-999,-999,436
0,-999,-999,467
0,-999,-999,546
0,-999,-999,541
0,-999,-999,588
0,-999,-999,499
0,-999,-999,497
0,-999,-999,625
0,-999,-999,667
0,-999,-999,394
0,-999,-999,730
0,-999,-999,595
0,-999,-999,636
0,-999,-999,540
0,-999,-999,444
0,-999,-999,518
0,-999,-999,469
0,-999,-999,516
0,-999,-999,493
0,-999,-999,582
0,-999,-999,287
0,-999,-999,509
0,-999,-999,359
0,-999,-999,422
0,-999,-999,438
0,-999,-999,561
0,-999,-999,528
0,-999,-999,592
0,-999,-999,447
0,-999,-999,568
0,-999,-999,423
0,-999,-999,577
0,-999,-999,560
0,-999,-999,655
0,-999,-999,650
0,-999,-999,467
